"Series Description","SPOT EXCHANGE RATE - EURO AREA ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ "
"Unit:","Currency:_Per_EUR","Currency:_Per_USD"
"Multiplier:","1","1"
"Currency:","USD","HKD"
"Unique Identifier: ","H10/H10/RXI$US_N.B.EU","H10/H10/RXI_N.B.HK"
"Time Period","RXI$US_N.B.EU","RXI_N.B.HK"
2000-01-03,1.0155,7.7765
2000-01-04,1.0309,7.7775
2000-01-05,1.0335,7.7780
2000-01-06,1.0324,7.7785
2000-01-07,1.0294,7.7783
2000-01-10,1.0252,7.7785
2000-01-11,1.0322,7.7785
2000-01-12,1.0281,7.7787
2000-01-13,1.0270,7.7788
2000-01-14,1.0128,7.7789
2000-01-17,ND,ND
2000-01-18,1.0121,7.7790
2000-01-19,1.0115,7.7798
2000-01-20,1.0133,7.7795
2000-01-21,1.0100,7.7792
2000-01-24,1.0019,7.7795
2000-01-25,1.0041,7.7800
2000-01-26,1.0011,7.7805
2000-01-27,0.9890,7.7805
2000-01-28,0.9765,7.7800
2000-01-31,0.9757,7.7810
2000-02-01,0.9731,7.7807
2000-02-02,0.9768,7.7805
2000-02-03,0.9887,7.7812
2000-02-04,0.9760,7.7810
2000-02-07,0.9783,7.7820
2000-02-08,0.9862,7.7809
2000-02-09,0.9914,7.7810
2000-02-10,0.9865,7.7820
2000-02-11,0.9847,7.7814
2000-02-14,0.9783,7.7800
2000-02-15,0.9834,7.7810
2000-02-16,0.9842,7.7814
2000-02-17,0.9863,7.7815
2000-02-18,0.9850,7.7808
2000-02-21,ND,ND
2000-02-22,1.0060,7.7825
2000-02-23,1.0017,7.7826
2000-02-24,0.9931,7.7830
2000-02-25,0.9763,7.7830
2000-02-28,0.9669,7.7830
2000-02-29,0.9643,7.7833
2000-03-01,0.9700,7.7824
2000-03-02,0.9619,7.7825
2000-03-03,0.9618,7.7833
2000-03-06,0.9603,7.7835
2000-03-07,0.9560,7.7840
2000-03-08,0.9576,7.7845
2000-03-09,0.9684,7.7842
2000-03-10,0.9659,7.7848
2000-03-13,0.9648,7.7842
2000-03-14,0.9644,7.7845
2000-03-15,0.9696,7.7847
2000-03-16,0.9710,7.7846
2000-03-17,0.9694,7.7849
2000-03-20,0.9710,7.7855
2000-03-21,0.9703,7.7855
2000-03-22,0.9608,7.7858
2000-03-23,0.9691,7.7858
2000-03-24,0.9724,7.7845
2000-03-27,0.9645,7.7855
2000-03-28,0.9614,7.7850
2000-03-29,0.9524,7.7865
2000-03-30,0.9594,7.7866
2000-03-31,0.9574,7.7867
2000-04-03,0.9560,7.7868
2000-04-04,0.9588,7.7863
2000-04-05,0.9647,7.7864
2000-04-06,0.9580,7.7870
2000-04-07,0.9590,7.7878
2000-04-10,0.9588,7.7875
2000-04-11,0.9591,7.7870
2000-04-12,0.9551,7.7878
2000-04-13,0.9524,7.7879
2000-04-14,0.9564,7.7880
2000-04-17,0.9550,7.7882
2000-04-18,0.9477,7.7885
2000-04-19,0.9369,7.7886
2000-04-20,0.9376,7.7888
2000-04-21,0.9379,7.7887
2000-04-24,0.9396,7.7890
2000-04-25,0.9265,7.7885
2000-04-26,0.9217,7.7890
2000-04-27,0.9083,7.7890
2000-04-28,0.9089,7.7890
2000-05-01,0.9120,7.7890
2000-05-02,0.9068,7.7895
2000-05-03,0.8891,7.7900
2000-05-04,0.8907,7.7900
2000-05-05,0.8953,7.7898
2000-05-08,0.8950,7.7893
2000-05-09,0.9023,7.7899
2000-05-10,0.9097,7.7898
2000-05-11,0.9021,7.7898
2000-05-12,0.9080,7.7900
2000-05-15,0.9138,7.7895
2000-05-16,0.9053,7.7902
2000-05-17,0.8921,7.7910
2000-05-18,0.8952,7.7915
2000-05-19,0.8946,7.7915
2000-05-22,0.9036,7.7918
2000-05-23,0.9032,7.7920
2000-05-24,0.9096,7.7919
2000-05-25,0.9072,7.7920
2000-05-26,0.9310,7.7922
2000-05-29,ND,ND
2000-05-30,0.9314,7.7925
2000-05-31,0.9328,7.7927
2000-06-01,0.9307,7.7920
2000-06-02,0.9432,7.7921
2000-06-05,0.9471,7.7940
2000-06-06,0.9570,7.7930
2000-06-07,0.9600,7.7930
2000-06-08,0.9548,7.7932
2000-06-09,0.9526,7.7936
2000-06-12,0.9544,7.7940
2000-06-13,0.9619,7.7936
2000-06-14,0.9590,7.7925
2000-06-15,0.9530,7.7940
2000-06-16,0.9648,7.7942
2000-06-19,0.9622,7.7936
2000-06-20,0.9557,7.7925
2000-06-21,0.9455,7.7930
2000-06-22,0.9398,7.7920
2000-06-23,0.9358,7.7910
2000-06-26,0.9382,7.7920
2000-06-27,0.9444,7.7950
2000-06-28,0.9444,7.7955
2000-06-29,0.9515,7.7953
2000-06-30,0.9545,7.7960
2000-07-03,0.9526,7.7960
2000-07-04,ND,ND
2000-07-05,0.9548,7.7962
2000-07-06,0.9527,7.7964
2000-07-07,0.9484,7.7968
2000-07-10,0.9521,7.7965
2000-07-11,0.9497,7.7961
2000-07-12,0.9401,7.7960
2000-07-13,0.9339,7.7960
2000-07-14,0.9374,7.7965
2000-07-17,0.9351,7.7973
2000-07-18,0.9322,7.7968
2000-07-19,0.9237,7.7970
2000-07-20,0.9292,7.7970
2000-07-21,0.9343,7.7965
2000-07-24,0.9314,7.7960
2000-07-25,0.9391,7.7971
2000-07-26,0.9413,7.7981
2000-07-27,0.9331,7.7975
2000-07-28,0.9246,7.7987
2000-07-31,0.9266,7.7988
2000-08-01,0.9228,7.7993
2000-08-02,0.9137,7.7990
2000-08-03,0.9042,7.7992
2000-08-04,0.9075,7.7989
2000-08-07,0.9105,7.7985
2000-08-08,0.9019,7.7985
2000-08-09,0.8991,7.7993
2000-08-10,0.9077,7.7995
2000-08-11,0.9046,7.7998
2000-08-14,0.9037,7.8003
2000-08-15,0.9135,7.7998
2000-08-16,0.9143,7.7998
2000-08-17,0.9152,7.7988
2000-08-18,0.9068,7.7990
2000-08-21,0.9027,7.7992
2000-08-22,0.8965,7.7992
2000-08-23,0.8967,7.8000
2000-08-24,0.9028,7.8000
2000-08-25,0.9024,7.8000
2000-08-28,0.9002,7.8000
2000-08-29,0.8966,7.8000
2000-08-30,0.8924,7.8008
2000-08-31,0.8878,7.7992
2000-09-01,0.8993,7.7995
2000-09-04,ND,ND
2000-09-05,0.8876,7.7989
2000-09-06,0.8702,7.7985
2000-09-07,0.8740,7.7995
2000-09-08,0.8664,7.7985
2000-09-11,0.8624,7.7987
2000-09-12,0.8596,7.7987
2000-09-13,0.8640,7.7985
2000-09-14,0.8617,7.7988
2000-09-15,0.8572,7.7973
2000-09-18,0.8523,7.7972
2000-09-19,0.8514,7.7986
2000-09-20,0.8462,7.7990
2000-09-21,0.8558,7.7993
2000-09-22,0.8793,7.7983
2000-09-25,0.8738,7.7986
2000-09-26,0.8815,7.7990
2000-09-27,0.8805,7.7983
2000-09-28,0.8826,7.7978
2000-09-29,0.8837,7.7971
2000-10-02,0.8806,7.7970
2000-10-03,0.8741,7.7942
2000-10-04,0.8726,7.7940
2000-10-05,0.8685,7.7963
2000-10-06,0.8680,7.7960
2000-10-09,ND,ND
2000-10-10,0.8682,7.7970
2000-10-11,0.8715,7.7985
2000-10-12,0.8644,7.7968
2000-10-13,0.8568,7.7975
2000-10-16,0.8489,7.7980
2000-10-17,0.8507,7.7975
2000-10-18,0.8391,7.7980
2000-10-19,0.8406,7.7970
2000-10-20,0.8400,7.7975
2000-10-23,0.8364,7.7987
2000-10-24,0.8364,7.7991
2000-10-25,0.8270,7.7990
2000-10-26,0.8271,7.8001
2000-10-27,0.8406,7.7995
2000-10-30,0.8432,7.7997
2000-10-31,0.8486,7.7995
2000-11-01,0.8584,7.7970
2000-11-02,0.8594,7.7951
2000-11-03,0.8614,7.7974
2000-11-06,0.8584,7.7982
2000-11-07,0.8583,7.7985
2000-11-08,0.8559,7.7990
2000-11-09,0.8574,7.7990
2000-11-10,0.8625,7.7992
2000-11-13,0.8607,7.7991
2000-11-14,0.8573,7.7995
2000-11-15,0.8570,7.7995
2000-11-16,0.8532,7.7990
2000-11-17,0.8516,7.7998
2000-11-20,0.8486,7.7999
2000-11-21,0.8458,7.7999
2000-11-22,0.8423,7.8000
2000-11-23,ND,ND
2000-11-24,0.8382,7.8000
2000-11-27,0.8500,7.8000
2000-11-28,0.8547,7.8005
2000-11-29,0.8577,7.7999
2000-11-30,0.8694,7.8000
2000-12-01,0.8765,7.8001
2000-12-04,0.8875,7.7995
2000-12-05,0.8804,7.8000
2000-12-06,0.8877,7.7974
2000-12-07,0.8891,7.7975
2000-12-08,0.8838,7.7963
2000-12-11,0.8771,7.7969
2000-12-12,0.8775,7.7974
2000-12-13,0.8755,7.8003
2000-12-14,0.8858,7.8003
2000-12-15,0.8981,7.8000
2000-12-18,0.8929,7.8000
2000-12-19,0.8902,7.7997
2000-12-20,0.9058,7.8002
2000-12-21,0.9112,7.7993
2000-12-22,0.9230,7.7999
2000-12-25,ND,ND
2000-12-26,0.9292,7.7993
2000-12-27,0.9304,7.7988
2000-12-28,0.9257,7.7990
2000-12-29,0.9388,7.7999
2001-01-01,ND,ND
2001-01-02,0.9465,7.8000
2001-01-03,0.9473,7.8000
2001-01-04,0.9448,7.7998
2001-01-05,0.9535,7.7993
2001-01-08,0.9486,7.7998
2001-01-09,0.9397,7.8000
2001-01-10,0.9387,7.8000
2001-01-11,0.9520,7.8000
2001-01-12,0.9486,7.8001
2001-01-15,ND,ND
2001-01-16,0.9374,7.7997
2001-01-17,0.9306,7.8000
2001-01-18,0.9446,7.7997
2001-01-19,0.9363,7.7997
2001-01-22,0.9374,7.7997
2001-01-23,0.9389,7.7996
2001-01-24,0.9258,7.8000
2001-01-25,0.9219,7.7997
2001-01-26,0.9213,7.7995
2001-01-29,0.9181,7.7999
2001-01-30,0.9264,7.7995
2001-01-31,0.9308,7.7995
2001-02-01,0.9384,7.7990
2001-02-02,0.9357,7.7993
2001-02-05,0.9395,7.7994
2001-02-06,0.9304,7.8000
2001-02-07,0.9331,7.8000
2001-02-08,0.9184,7.8000
2001-02-09,0.9267,7.7998
2001-02-12,0.9287,7.8000
2001-02-13,0.9204,7.8000
2001-02-14,0.9197,7.7999
2001-02-15,0.9057,7.8000
2001-02-16,0.9162,7.8000
2001-02-19,ND,ND
2001-02-20,0.9096,7.8000
2001-02-21,0.9077,7.8000
2001-02-22,0.9069,7.8000
2001-02-23,0.9095,7.7999
2001-02-26,0.9093,7.7999
2001-02-27,0.9128,7.8000
2001-02-28,0.9212,7.8000
2001-03-01,0.9291,7.8000
2001-03-02,0.9340,7.8000
2001-03-05,0.9289,7.8002
2001-03-06,0.9313,7.8002
2001-03-07,0.9274,7.8001
2001-03-08,0.9281,7.8000
2001-03-09,0.9315,7.7997
2001-03-12,0.9300,7.7999
2001-03-13,0.9148,7.7998
2001-03-14,0.9133,7.7999
2001-03-15,0.9046,7.8001
2001-03-16,0.8929,7.7997
2001-03-19,0.8985,7.7995
2001-03-20,0.9054,7.7996
2001-03-21,0.8970,7.7995
2001-03-22,0.8881,7.7994
2001-03-23,0.8926,7.7998
2001-03-26,0.8955,7.8000
2001-03-27,0.8910,7.8000
2001-03-28,0.8882,7.8003
2001-03-29,0.8807,7.7998
2001-03-30,0.8794,7.8003
2001-04-02,0.8824,7.7983
2001-04-03,0.8930,7.7990
2001-04-04,0.9013,7.7986
2001-04-05,0.8976,7.7990
2001-04-06,0.9002,7.7987
2001-04-09,0.9014,7.7990
2001-04-10,0.8884,7.8000
2001-04-11,0.8856,7.7990
2001-04-12,0.8922,7.7994
2001-04-13,0.8888,7.7994
2001-04-16,0.8862,7.7995
2001-04-17,0.8814,7.8000
2001-04-18,0.8816,7.8000
2001-04-19,0.8909,7.7995
2001-04-20,0.9032,7.7998
2001-04-23,0.8960,7.7991
2001-04-24,0.8946,7.7991
2001-04-25,0.8972,7.8000
2001-04-26,0.9011,7.7999
2001-04-27,0.8924,7.7993
2001-04-30,0.8874,7.7990
2001-05-01,0.8937,7.7993
2001-05-02,0.8925,7.7998
2001-05-03,0.8891,7.7991
2001-05-04,0.8934,7.7995
2001-05-07,0.8916,7.7995
2001-05-08,0.8848,7.7997
2001-05-09,0.8845,7.8000
2001-05-10,0.8792,7.8000
2001-05-11,0.8759,7.7999
2001-05-14,0.8748,7.8000
2001-05-15,0.8788,7.8000
2001-05-16,0.8842,7.8000
2001-05-17,0.8828,7.8000
2001-05-18,0.8774,7.8000
2001-05-21,0.8762,7.7998
2001-05-22,0.8657,7.8003
2001-05-23,0.8598,7.7999
2001-05-24,0.8570,7.8000
2001-05-25,0.8577,7.8002
2001-05-28,ND,ND
2001-05-29,0.8547,7.7999
2001-05-30,0.8576,7.8000
2001-05-31,0.8455,7.7998
2001-06-01,0.8452,7.8000
2001-06-04,0.8449,7.8000
2001-06-05,0.8504,7.7998
2001-06-06,0.8452,7.7998
2001-06-07,0.8506,7.8000
2001-06-08,0.8505,7.7994
2001-06-11,0.8425,7.7990
2001-06-12,0.8479,7.7991
2001-06-13,0.8536,7.7990
2001-06-14,0.8598,7.7992
2001-06-15,0.8628,7.7995
2001-06-18,0.8610,7.7998
2001-06-19,0.8558,7.7999
2001-06-20,0.8506,7.7998
2001-06-21,0.8544,7.7997
2001-06-22,0.8570,7.7998
2001-06-25,0.8611,7.7998
2001-06-26,0.8623,7.8000
2001-06-27,0.8621,7.7998
2001-06-28,0.8470,7.7998
2001-06-29,0.8474,7.8000
2001-07-02,0.8455,7.8000
2001-07-03,0.8477,7.8000
2001-07-04,ND,ND
2001-07-05,0.8370,7.8003
2001-07-06,0.8465,7.8000
2001-07-09,0.8474,7.8000
2001-07-10,0.8557,7.7999
2001-07-11,0.8614,7.8000
2001-07-12,0.8530,7.8000
2001-07-13,0.8527,7.7999
2001-07-16,0.8549,7.8000
2001-07-17,0.8549,7.8000
2001-07-18,0.8701,7.8000
2001-07-19,0.8690,7.7999
2001-07-20,0.8713,7.7998
2001-07-23,0.8676,7.7998
2001-07-24,0.8752,7.7998
2001-07-25,0.8797,7.7999
2001-07-26,0.8765,7.7998
2001-07-27,0.8749,7.7996
2001-07-30,0.8750,7.7998
2001-07-31,0.8752,7.7997
2001-08-01,0.8793,7.7998
2001-08-02,0.8813,7.7995
2001-08-03,0.8843,7.7992
2001-08-06,0.8802,7.7992
2001-08-07,0.8775,7.7995
2001-08-08,0.8778,7.7995
2001-08-09,0.8886,7.7997
2001-08-10,0.8940,7.7992
